X;Y;Y2;Y3;Y4;Y5
0.01;0.00019193625746087066;0.00019177030802977816;0.00019217084749752607;0.00019251644747583758;0.00019305412217816476
0.011;0.00023236400442427137;0.00023214373708207035;0.00023267573127999717;0.0002331354303508296;0.00023385130714325292
0.011999999999999999;0.0002766779966272554;0.0002763928184688042;0.0002770820439359623;0.00027767848456939373;0.00027860820010309
0.012999999999999998;0.00032488501881917155;0.00032452343642209324;0.00032539789983673274;0.00032615575733914963;0.0003273382217082186
0.013999999999999997;0.00037699198643835626;0.0003765416155377667;0.00037763153656826965;0.0003785775161532001;0.0003800549204101299
0.014999999999999996;0.00043300594717692314;0.0004324535221641443;0.0004337913167305676;0.0004349541509116551;0.0004367719750424412
0.015999999999999993;0.000492934082558325;0.0004922654658028048;0.0004938857297516856;0.0004952961760615716;0.0004975031974274782
0.016999999999999994;0.0005567837095281384;0.0005559839005217623;0.0005579233937169147;0.0005596142327558489;0.0005622625350088461
0.017999999999999995;0.0006245622820585179;0.0006236154263814564;0.0006259130572135766;0.0006279190910316268;0.0006310640735105829
0.018999999999999993;0.0006962773927667852;0.000695166790873979;0.0006978636011919644;0.0007002216520087472;0.0007039220396235041
0.01999999999999999;0.0007719367745486125;0.0007706448903759583;0.0007737840408429344;0.0007765329501088467;0.0007808508037193595
0.02099999999999999;0.0008515483022262723;0.0008500567716155183;0.0008536835274926692;0.000856864155295659;0.0008618648825934269
0.021999999999999992;0.0009351199942124247;0.0009334096331537489;0.0009375713505151415;0.0009412265753371136;0.0009469789422361838
0.02299999999999999;0.0010226600141899351;0.001020710826881119;0.001025456939262819;0.0010296316580898387;0.001036207800634722
0.023999999999999987;0.0011141766728082;0.0011119678595292704;0.001117349865016155;0.0011220909938066688;0.0011295664306045581
0.024999999999999988;0.0012096784293964822;0.0012071883941986287;0.0012132598429524131;0.0012186163174677863;0.0012270699626525283
0.02599999999999999;0.0013091738936947565;0.0013063802519022896;0.0013131967341344026;0.0013192195111361295;0.00132873368787145
0.02699999999999999;0.0014126718276025745;0.0014095514131266243;0.0014171705475196862;0.001423912606337706;0.0014345730608672645
0.027999999999999983;0.0015201811469464706;0.0015167100194090654;0.0015251914419908482;0.0015327077864674815;0.0015446037027193747
0.028999999999999984;0.0016317109232664253;0.0016278643749335383;0.0016372697284074201;0.0016456173892215014;0.0016588414039749053
0.029999999999999985;0.0017472703856219204;0.001743022948143995;0.001753415871680054;0.0017626539090559276;0.0017773021276776312
0.030999999999999986;0.001866868922418134;0.001862194373376546;0.0018736404928675712;0.0018838299996736985;0.0019000020124323395
0.03199999999999998;0.001990516083252814;0.0019853874525106474;0.0019979543712974994;0.002009158476539505;0.002026957375505389
0.03299999999999998;0.00211822158078439;0.002112611156639853;0.002126368446710746;0.002138652319423814;0.002158184715962264
0.03399999999999998;0.0022499952926218953;0.002243874627762596;0.0022588938214310335;0.0022723246749766658;0.0022937007178429024
0.03499999999999998;0.0023858472632372588;0.0023791871804935303;0.0023955417625597737;0.0024101888593320115;0.0024335222533756512
0.035999999999999976;0.002525787705900567;0.002518558303795912;0.0025363237041970466;0.0025522583607433275;0.002577666386230644
0.03699999999999998;0.0026698270046388918;0.0026619976627355636;0.0026812512496893603;0.002698546842251328;0.002726150374813474
0.03799999999999998;0.002817975716219256;0.0028095151002568925;0.002830336173904882;0.0028490681443845115;0.0028789916756000056
0.03899999999999998;0.0029702445721563947;0.002961120638981556;0.0029835904255368657;0.003003836287893411;0.0030362079465132154
0.03999999999999997;0.003126644480745898;0.0031168244830302493;0.0031410261294359805;0.0031628654765193344;0.003197817050342959
0.040999999999999974;0.003287186529123402;0.003276637019868206;0.003302655588972279;0.003326170099798456;0.003363837058209568
0.041999999999999975;0.003451881985350443;0.0034405688221749203;0.003468491288427556;0.003493764735902104;0.003534286253072204
0.042999999999999976;0.0036207423005276494;0.003608630649738692;0.003638545895418853;0.0036656641545141336;0.0037091831332829194
0.04399999999999998;0.0037937791109359425;0.003780833451376531;0.003812832263353901;0.003841883319746275;0.003888546416187389
0.04499999999999997;0.003971004240206419;0.003957188366880021;0.003991363433919274;0.004022437393092368;0.0040723950417732935
0.04599999999999997;0.004152429701519604;0.004137706728987705;0.004174152639602079;0.004207341736422411;0.004260748176367339
0.04699999999999997;0.0043380676998347875;0.004322400065384623;0.004361213306245989;0.004396611915017374;0.004453625216381956
0.047999999999999966;0.0045279306341501615;0.004511280100729554;0.004552559055642472;0.004590263700645756;0.004651045792112673
0.04899999999999997;0.0047220310997945015;0.0047043587587106625;0.004748203708158091;0.004788313074682858;0.0048530297715872715
0.04999999999999997;0.004920381890751096;0.004901648164130059;0.0049481612853986825;0.0049907762312737915;0.005059597264467746
0.05099999999999997;0.005122996002014741;0.00510316064501803;0.0051524460129114035;0.0051976695805412585;0.005270768626006187
0.05199999999999997;0.005329886631982537;0.005308908734777497;0.005361072322925466;0.0054090097518391415;0.005486564461055703
0.052999999999999964;0.005541067184879278;0.005518905174359412;0.005574054857132554;0.005624813597052984;0.0057070056281374945
0.053999999999999965;0.005756551273218265;0.00573316291446973;0.005791408469507841;0.005845098193948459;0.005932113243565266
0.054999999999999966;0.005976352720298319;0.005951695117808657;0.00601314822917256;0.006069880849568946;0.0061619086856280975
0.05599999999999996;0.006200485562737888;0.0061745151613428586;0.006239289423299174;0.0062991791036833625;0.006396413598833039
0.05699999999999996;0.00642896405304704;0.00640163663861135;0.006469847560060099;0.006533010732285404;0.006635649898208584
0.05799999999999996;0.006661802662238269;0.006633073362065747;0.00670483837162102;0.006771393751145409;0.006879639773670307
